,Open,High,Low,Close,Volume
2015-10-28,28.9475,29.8375,28.9125,29.7475,3193897
2015-10-29,29.8,30.1925,29.545,30.1625,1824904
2015-10-30,30.235,30.3375,29.7725,29.82,1827211
2015-11-02,29.815,30.34,29.8125,30.3125,1172365
2015-11-03,30.25,30.8725,30.0825,30.63,1677883
2015-11-04,30.675,30.955,30.405,30.55,1598231
2015-11-05,30.4575,30.6725,30.045,30.3425,1431776
2015-11-06,30.315,30.4525,30.155,30.25,1158782
2015-11-09,30.255,30.4525,29.925,30.1025,1256319
2015-11-10,30.1125,30.1125,29.015,29.1,2164007
2015-11-11,29.1,29.355,28.8025,28.99,1696853
2015-11-12,29.11,29.205,28.875,28.8975,1185124
2015-11-13,28.93,28.93,27.6225,27.7125,1690698
2015-11-16,27.97,28.56,27.4975,28.5125,1392652
2015-11-17,28.5225,28.7975,28.33,28.4275,1011221
2015-11-18,28.445,29.375,28.445,29.3675,1716404
2015-11-19,29.4625,29.9375,29.19,29.6175,1591211
2015-11-20,29.755,29.98,29.665,29.8625,1237626
2015-11-23,29.825,29.95,29.335,29.42,1195148
2015-11-24,29.325,29.8375,29.2125,29.6975,1590544
2015-11-25,29.75,29.815,29.48,29.5075,770550
2015-11-27,29.5075,29.66,29.4,29.4125,476470
2015-11-30,29.4525,29.8525,29.4375,29.6325,1373767
2015-12-01,29.72,29.75,29.215,29.295,1294546
2015-12-02,29.3425,29.5275,29.02,29.095,1230638
2015-12-03,29.1775,29.325,28.555,28.8475,1490996
2015-12-04,28.885,29.8125,28.7525,29.7625,2098111
2015-12-07,29.81,29.965,29.4525,29.5725,1182282
2015-12-08,29.4875,29.65,29.195,29.625,1265254
2015-12-09,29.49,29.5575,28.77,28.95,1567762
2015-12-10,28.985,29.235,28.8775,29.105,1061417
2015-12-11,29.0425,29.0425,28.2125,28.2375,1708756
2015-12-14,28.125,28.4975,27.4475,28.075,2352399
2015-12-15,28.1125,28.2125,27.5275,27.62,1953486
2015-12-16,27.7025,27.9975,27.2,27.8175,2084268
2015-12-17,27.92,28.1125,27.1525,27.1575,1657409
2015-12-18,27.5,27.5,26.4525,26.5825,3254396
2015-12-21,26.875,26.97,26.3925,26.9075,1618968
2015-12-22,26.925,26.93,26.6125,26.825,1169041
2015-12-23,26.85,27.2125,26.795,27.165,1129708
2015-12-24,27.1425,27.25,26.9875,27.0025,501421
2015-12-28,26.9175,26.935,26.545,26.7175,984990
2015-12-29,26.75,27.3575,26.715,27.175,1126954
2015-12-30,27.175,27.175,26.795,26.885,872227
2015-12-31,26.8875,26.8875,26.205,26.35,1486529
2016-01-04,26.3625,26.4425,25.5,26.435,2133351
2016-01-05,26.3175,26.4625,25.5275,25.5575,2031172
2016-01-06,25.56,25.5925,24.915,25.2425,2498471
2016-01-07,23.9975,25.1475,23.855,23.905,2922353
2016-01-08,24.165,24.7775,24.165,24.2525,2596147
2016-01-11,24.41,24.7925,24.2975,24.6875,3665319
2016-01-12,24.555,25.175,24.555,25.0725,1796236
2016-01-13,25.2375,25.2975,24.325,24.325,2315107
2016-01-14,24.3825,25.12,23.935,24.8125,2308413
2016-01-15,24.59,24.59,23.84,24.2825,2690345
2016-01-19,24.47,24.8125,23.875,24.125,1841417
2016-01-20,23.875,24.5475,23.355,24.3075,2685325
2016-01-21,22.755,24.47,22.755,24.1125,1828431
2016-01-22,24.44,25.4925,24.38,25.4925,2405290
2016-01-25,25.5,25.5,24.7875,24.8625,1861376
2016-01-26,24.7625,25.8675,24.2225,24.355,2438568
2016-01-27,24.2625,24.325,23.335,23.465,4902509
2016-01-28,23.5,23.6975,23.0975,23.4125,2024132
2016-01-29,23.5125,24.335,23.5125,24.2975,2394787
2016-02-01,24.275,24.335,23.85,24.0525,1500684
2016-02-02,23.9675,24.01,23.57,23.665,1346240
2016-02-03,23.73,24.21,23.52,23.9975,1653070
